iid,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,tmp_att,tmp_sin,tmp_int,tmp_fun,tmp_amb
379,0.0,0.06666666666666667,6.0,9.0,8.0,6.0,9.0,15.0,15.0,20.0,15.0,15.0
380,0.0,0.0,4.0,7.0,9.0,9.0,9.0,20.0,20.0,20.0,15.0,15.0
381,0.0,0.13333333333333333,7.0,7.0,9.0,10.0,8.0,20.0,10.0,20.0,35.0,5.0
382,0.0,0.13333333333333333,7.0,7.0,7.0,7.0,10.0,25.0,25.0,25.0,10.0,10.0
383,0.0,0.26666666666666666,7.0,9.0,6.0,7.0,6.0,25.0,20.0,10.0,20.0,15.0
384,0.0,0.4666666666666667,8.0,8.0,8.0,9.0,9.0,20.0,20.0,20.0,20.0,20.0
385,0.0,0.3333333333333333,8.0,8.0,8.0,6.0,6.0,25.0,20.0,20.0,20.0,10.0
386,0.0,0.13333333333333333,7.0,8.0,9.0,9.0,9.0,15.0,10.0,30.0,10.0,15.0
387,0.0,0.4666666666666667,8.0,8.0,8.0,8.0,8.0,20.0,15.0,25.0,15.0,15.0
388,0.0,0.06666666666666667,8.0,8.0,8.0,7.0,8.0,22.0,17.0,15.0,15.0,15.0
389,0.0,0.4666666666666667,8.0,10.0,7.0,9.0,5.0,20.0,30.0,20.0,20.0,0.0
390,0.0,0.0,8.0,8.0,8.0,8.0,8.0,10.0,20.0,20.0,10.0,10.0
391,0.0,0.06666666666666667,8.0,9.0,9.0,9.0,7.0,35.0,0.0,35.0,10.0,10.0
392,0.0,0.13333333333333333,4.0,7.0,8.0,7.0,7.0,15.0,20.0,15.0,30.0,10.0
393,0.0,0.26666666666666666,7.0,9.0,8.0,8.0,8.0,8.0,20.0,25.0,25.0,12.0
394,0.0,0.06666666666666667,9.0,8.0,7.0,7.0,7.0,18.0,19.0,16.0,15.0,15.0
395,0.0,0.06666666666666667,8.0,8.0,9.0,7.0,7.0,20.0,20.0,20.0,10.0,10.0
396,0.0,0.0,8.0,10.0,10.0,10.0,8.0,15.0,18.0,18.0,18.0,15.0
397,1.0,0.2,7.0,7.0,10.0,7.0,9.0,20.0,21.0,21.0,22.0,6.0
398,1.0,0.4,7.0,6.0,7.0,10.0,8.0,45.0,10.0,10.0,30.0,0.0
399,1.0,0.06666666666666667,9.0,9.0,9.0,9.0,9.0,25.0,10.0,20.0,20.0,10.0
400,1.0,0.4,7.0,10.0,8.0,6.0,7.0,70.0,5.0,20.0,3.0,1.0
401,1.0,0.06666666666666667,8.0,5.0,10.0,7.0,5.0,35.0,0.0,25.0,20.0,0.0
402,1.0,0.0,6.0,8.0,10.0,7.0,9.0,25.0,20.0,15.0,25.0,10.0
403,1.0,0.06666666666666667,4.0,8.0,9.0,7.0,9.0,20.0,25.0,20.0,15.0,5.0
404,1.0,0.5333333333333333,6.0,9.0,8.0,7.0,8.0,25.0,14.0,25.0,25.0,3.0
405,1.0,0.0,8.0,8.0,9.0,10.0,10.0,30.0,25.0,20.0,15.0,5.0
406,1.0,0.0,6.0,7.0,8.0,8.0,9.0,20.0,20.0,20.0,20.0,20.0
407,1.0,0.13333333333333333,7.0,9.0,7.0,8.0,8.0,30.0,15.0,15.0,15.0,15.0
409,1.0,0.26666666666666666,7.0,9.0,9.0,8.0,8.0,20.0,15.0,20.0,20.0,10.0
410,1.0,0.2,7.0,10.0,10.0,6.0,10.0,20.0,20.0,20.0,20.0,10.0
411,1.0,0.06666666666666667,8.0,6.0,7.0,9.0,5.0,35.0,15.0,15.0,25.0,10.0
412,1.0,0.26666666666666666,7.0,7.0,8.0,8.0,8.0,75.0,5.0,5.0,5.0,5.0
413,1.0,0.06666666666666667,7.0,9.0,8.0,7.0,6.0,10.0,10.0,30.0,30.0,5.0
415,1.0,0.0,7.0,8.0,10.0,4.0,8.0,10.0,20.0,40.0,10.0,10.0
417,0.0,0.16666666666666666,7.0,8.0,8.0,4.0,8.0,20.0,20.0,20.0,10.0,10.0
418,0.0,0.0,7.0,9.0,8.0,7.0,5.0,15.0,25.0,20.0,15.0,10.0
419,0.0,0.16666666666666666,9.0,8.0,9.0,5.0,3.0,5.0,30.0,20.0,10.0,5.0
420,0.0,0.16666666666666666,8.0,9.0,10.0,7.0,7.0,10.0,10.0,40.0,10.0,15.0
421,0.0,0.5,7.0,7.0,6.0,6.0,6.0,20.0,10.0,30.0,20.0,10.0
422,1.0,1.0,8.0,10.0,8.0,8.0,8.0,30.0,25.0,20.0,10.0,10.0
423,1.0,0.0,7.0,9.0,9.0,8.0,9.0,30.0,20.0,30.0,10.0,5.0
424,1.0,0.0,7.0,7.0,7.0,7.0,7.0,17.0,16.0,17.0,17.0,17.0
425,1.0,0.0,6.0,9.0,9.0,6.0,9.0,16.0,25.0,20.0,12.0,12.0
426,1.0,0.0,8.0,8.0,10.0,8.0,9.0,25.0,7.0,35.0,20.0,8.0
427,1.0,0.0,7.0,10.0,7.0,8.0,9.0,20.0,20.0,20.0,20.0,20.0
428,1.0,0.5,8.0,8.0,9.0,7.0,9.0,60.0,10.0,10.0,10.0,10.0
429,1.0,0.0,8.0,8.0,9.0,9.0,8.0,55.0,10.0,15.0,15.0,5.0
430,0.0,0.0,5.0,8.0,5.0,8.0,8.0,10.0,25.0,15.0,20.0,15.0
431,0.0,0.0,7.0,10.0,9.0,7.0,10.0,15.0,15.0,25.0,15.0,15.0
432,0.0,0.42857142857142855,7.0,8.0,8.0,8.0,8.0,15.0,30.0,30.0,10.0,10.0
433,0.0,0.0,8.0,6.0,8.0,7.0,5.0,20.0,20.0,20.0,20.0,10.0
434,0.0,0.0,7.0,7.0,6.0,8.0,4.0,30.0,15.0,15.0,30.0,0.0
436,0.0,0.14285714285714285,9.0,8.0,7.0,10.0,6.0,28.0,8.0,17.0,22.0,17.0
437,0.0,0.42857142857142855,7.0,9.0,9.0,9.0,8.0,15.0,15.0,18.0,18.0,14.0
438,0.0,0.14285714285714285,7.0,8.0,7.0,7.0,7.0,14.0,15.0,16.0,17.0,18.0
439,0.0,0.2857142857142857,8.0,8.0,7.0,7.0,7.0,20.0,10.0,50.0,5.0,10.0
440,1.0,0.0,8.0,8.0,9.0,9.0,9.0,35.0,5.0,30.0,20.0,5.0
441,1.0,0.16666666666666666,8.0,7.0,9.0,8.0,8.0,35.0,10.0,25.0,20.0,5.0
442,1.0,0.3333333333333333,7.0,9.0,8.0,8.0,9.0,40.0,10.0,0.0,45.0,0.0
444,1.0,0.0,8.0,7.0,8.0,9.0,7.0,50.0,10.0,10.0,30.0,0.0
445,1.0,0.3333333333333333,9.0,8.0,10.0,7.0,7.0,40.0,12.0,18.0,12.0,6.0
447,1.0,0.0,6.0,10.0,7.0,6.0,4.0,15.0,30.0,25.0,20.0,0.0
448,1.0,0.5,8.0,9.0,9.0,8.0,10.0,25.0,15.0,25.0,25.0,5.0
449,1.0,0.0,7.0,10.0,10.0,10.0,8.0,55.0,2.0,1.0,40.0,1.0
450,1.0,0.3333333333333333,9.0,6.0,10.0,7.0,10.0,50.0,5.0,5.0,5.0,5.0
451,1.0,0.0,2.0,4.0,4.0,4.0,4.0,20.0,40.0,5.0,20.0,5.0
452,1.0,0.0,7.0,8.0,10.0,7.0,8.0,35.0,30.0,25.0,5.0,0.0
453,1.0,0.0,5.0,6.0,8.0,7.0,5.0,30.0,30.0,30.0,5.0,0.0
454,0.0,0.0,8.0,9.0,9.0,9.0,7.0,10.0,20.0,20.0,20.0,10.0
455,0.0,0.0,7.0,9.0,8.0,9.0,8.0,10.0,25.0,20.0,16.0,20.0
456,0.0,0.0,8.0,8.0,7.0,6.0,7.0,25.0,20.0,15.0,10.0,15.0
457,0.0,0.0,7.0,6.0,8.0,7.0,3.0,25.0,0.0,25.0,25.0,0.0
458,0.0,0.6666666666666666,10.0,10.0,10.0,9.0,10.0,50.0,5.0,25.0,20.0,0.0
459,0.0,0.0,5.0,5.0,5.0,5.0,8.0,30.0,10.0,10.0,30.0,10.0
460,1.0,0.0,8.0,8.0,9.0,7.0,7.0,20.0,10.0,20.0,15.0,15.0
462,1.0,0.2,4.0,9.0,8.0,6.0,2.0,30.0,30.0,10.0,10.0,0.0
463,1.0,0.0,6.0,7.0,8.0,7.0,7.0,15.0,15.0,15.0,15.0,15.0
464,1.0,0.2,5.0,8.0,9.0,8.0,10.0,15.0,15.0,15.0,20.0,15.0
465,1.0,0.0,7.0,10.0,7.0,8.0,5.0,20.0,20.0,20.0,20.0,20.0
466,0.0,0.0,7.0,9.0,8.0,7.0,8.0,10.0,20.0,20.0,15.0,20.0
467,0.0,0.6666666666666666,8.0,8.0,8.0,8.0,8.0,20.0,20.0,20.0,20.0,20.0
468,0.0,0.5,8.0,9.0,8.0,6.0,8.0,15.0,25.0,15.0,15.0,15.0
469,0.0,0.25,8.0,8.0,6.0,8.0,6.0,20.0,10.0,20.0,20.0,10.0
470,0.0,0.25,4.0,9.0,8.0,5.0,6.0,10.0,20.0,25.0,25.0,10.0
471,0.0,0.0,7.0,8.0,9.0,8.0,9.0,15.0,15.0,25.0,10.0,15.0
472,0.0,0.0,8.0,10.0,8.0,10.0,9.0,10.0,25.0,25.0,20.0,10.0
473,0.0,0.25,7.0,9.0,10.0,8.0,7.0,15.0,20.0,20.0,15.0,15.0
474,0.0,0.0,9.0,9.0,8.0,10.0,7.0,15.0,20.0,10.0,30.0,5.0
475,0.0,0.0,5.0,8.0,7.0,5.0,7.0,10.0,15.0,30.0,10.0,15.0
476,0.0,0.0,7.0,9.0,7.0,5.0,6.0,20.0,20.0,20.0,15.0,15.0
477,0.0,0.0,6.0,8.0,7.0,7.0,7.0,16.0,19.0,16.0,17.0,15.0
478,0.0,0.16666666666666666,7.0,8.0,8.0,9.0,7.0,20.0,20.0,10.0,20.0,10.0
479,0.0,0.0,8.0,8.0,8.0,8.0,8.0,15.0,15.0,20.0,20.0,15.0
480,0.0,0.16666666666666666,8.0,9.0,8.0,10.0,7.0,16.0,18.0,18.0,20.0,12.0
481,1.0,0.16666666666666666,8.0,7.0,9.0,8.0,5.0,25.0,20.0,15.0,20.0,5.0
482,1.0,0.16666666666666666,7.0,10.0,8.0,9.0,8.0,20.0,10.0,22.0,20.0,15.0
483,1.0,0.0,8.0,10.0,10.0,10.0,10.0,40.0,20.0,20.0,20.0,0.0
484,1.0,0.25,4.0,8.0,9.0,2.0,9.0,16.0,16.0,20.0,16.0,16.0
485,1.0,0.0,8.0,8.0,8.0,7.0,7.0,20.0,15.0,20.0,15.0,15.0
486,1.0,0.0,7.0,10.0,9.0,8.0,9.0,20.0,20.0,20.0,15.0,10.0
487,1.0,0.0,7.0,9.0,8.0,6.0,5.0,25.0,26.0,15.0,10.0,9.0
488,1.0,0.25,5.0,10.0,10.0,7.0,8.0,15.0,20.0,20.0,20.0,5.0
489,1.0,0.5,6.0,8.0,9.0,8.0,10.0,20.0,10.0,20.0,20.0,20.0
490,1.0,0.16666666666666666,3.0,7.0,8.0,6.0,6.0,30.0,15.0,20.0,10.0,10.0
491,1.0,0.0,7.0,7.0,7.0,7.0,7.0,30.0,10.0,25.0,20.0,8.0
492,1.0,1.0,10.0,10.0,10.0,10.0,10.0,30.0,0.0,30.0,30.0,10.0
493,1.0,0.25,7.0,7.0,8.0,8.0,8.0,30.0,10.0,10.0,30.0,10.0
494,1.0,0.0,9.0,10.0,10.0,10.0,7.0,25.0,25.0,25.0,25.0,0.0
495,1.0,0.0,7.0,7.0,8.0,7.0,9.0,20.0,20.0,20.0,15.0,15.0
496,0.0,0.2,5.0,8.0,9.0,6.0,8.0,20.0,30.0,20.0,20.0,10.0
497,0.0,0.0,8.0,10.0,9.0,10.0,8.0,10.0,20.0,20.0,20.0,20.0
498,0.0,0.0,8.0,9.0,9.0,10.0,10.0,18.0,18.0,18.0,18.0,18.0
499,0.0,0.5,9.0,10.0,10.0,9.0,4.0,19.0,19.0,19.0,19.0,5.0
501,0.0,0.5,8.0,9.0,9.0,8.0,9.0,30.0,10.0,20.0,10.0,10.0
502,1.0,0.0,7.0,7.0,9.0,9.0,9.0,40.0,20.0,20.0,20.0,0.0
503,1.0,0.0,7.0,9.0,10.0,4.0,5.0,30.0,30.0,40.0,0.0,0.0
504,1.0,0.5,7.0,5.0,8.0,6.0,8.0,30.0,0.0,30.0,15.0,15.0
505,1.0,1.0,9.0,10.0,10.0,8.0,10.0,20.0,14.0,18.0,16.0,16.0
506,1.0,0.0,5.0,8.0,9.0,7.0,10.0,15.0,15.0,20.0,15.0,15.0
507,1.0,0.0,7.0,8.0,8.0,7.0,7.0,20.0,20.0,20.0,20.0,20.0
508,1.0,0.0,7.0,8.0,9.0,8.0,8.0,18.0,10.0,18.0,18.0,18.0
509,0.0,0.14285714285714285,5.0,6.0,8.0,4.0,9.0,10.0,20.0,30.0,10.0,10.0
511,0.0,0.14285714285714285,8.0,4.0,8.0,10.0,8.0,20.0,10.0,10.0,30.0,15.0
512,0.0,0.07692307692307693,7.0,8.0,7.0,8.0,7.0,20.0,20.0,20.0,20.0,5.0
513,0.0,0.38461538461538464,6.0,8.0,6.0,7.0,4.0,20.0,20.0,20.0,20.0,5.0
514,0.0,0.0,8.0,10.0,9.0,8.0,7.0,20.0,20.0,20.0,15.0,5.0
515,0.0,0.15384615384615385,8.0,10.0,10.0,8.0,8.0,20.0,20.0,20.0,15.0,10.0
516,0.0,0.14285714285714285,8.0,9.0,8.0,9.0,8.0,58.0,5.0,8.0,10.0,7.0
518,0.0,0.46153846153846156,6.0,9.0,8.0,8.0,7.0,20.0,25.0,25.0,30.0,5.0
519,0.0,0.0,8.0,10.0,9.0,9.0,10.0,40.0,5.0,30.0,15.0,5.0
520,0.0,0.0,8.0,9.0,8.0,7.0,5.0,25.0,15.0,25.0,15.0,10.0
521,0.0,0.38461538461538464,7.0,9.0,8.0,9.0,8.0,10.0,30.0,20.0,15.0,15.0
522,0.0,0.3076923076923077,7.0,7.0,9.0,7.0,8.0,10.0,20.0,15.0,20.0,15.0
523,0.0,0.2857142857142857,6.0,9.0,9.0,8.0,6.0,10.0,25.0,20.0,20.0,5.0
524,0.0,0.42857142857142855,5.0,9.0,8.0,7.0,7.0,15.0,20.0,25.0,20.0,10.0
525,0.0,0.0,6.0,10.0,10.0,8.0,9.0,10.0,15.0,30.0,20.0,15.0
527,0.0,0.0,10.0,10.0,10.0,10.0,10.0,50.0,20.0,10.0,5.0,10.0
529,0.0,0.14285714285714285,6.0,10.0,7.0,9.0,5.0,10.0,25.0,25.0,10.0,10.0
530,0.0,0.14285714285714285,3.0,9.0,9.0,9.0,7.0,20.0,20.0,10.0,15.0,5.0
531,1.0,0.14285714285714285,10.0,10.0,10.0,6.0,10.0,15.0,30.0,20.0,20.0,10.0
532,1.0,0.42857142857142855,7.0,9.0,8.0,7.0,8.0,25.0,20.0,20.0,20.0,5.0
533,1.0,0.1111111111111111,8.0,9.0,9.0,8.0,9.0,25.0,25.0,25.0,13.0,12.0
534,1.0,0.0,7.0,9.0,9.0,8.0,5.0,30.0,30.0,30.0,5.0,2.0
535,1.0,0.4444444444444444,6.0,7.0,7.0,6.0,5.0,23.0,14.0,19.0,16.0,10.0
536,1.0,0.0,7.0,8.0,8.0,8.0,8.0,30.0,20.0,20.0,20.0,10.0
537,1.0,0.14285714285714285,7.0,9.0,9.0,9.0,7.0,20.0,5.0,25.0,25.0,5.0
538,1.0,0.1111111111111111,7.0,8.0,8.0,9.0,8.0,50.0,0.0,10.0,30.0,0.0
539,1.0,0.1111111111111111,8.0,8.0,10.0,9.0,10.0,30.0,10.0,20.0,15.0,15.0
540,1.0,0.0,5.0,7.0,5.0,6.0,7.0,20.0,15.0,20.0,20.0,15.0
541,1.0,0.14285714285714285,8.0,9.0,9.0,9.0,8.0,40.0,30.0,0.0,20.0,0.0
542,1.0,0.2857142857142857,8.0,9.0,8.0,8.0,9.0,25.0,15.0,20.0,20.0,10.0
543,1.0,0.0,7.0,9.0,8.0,9.0,9.0,20.0,16.0,16.0,17.0,16.0
544,1.0,0.2857142857142857,7.0,10.0,9.0,10.0,8.0,15.0,25.0,20.0,10.0,10.0
545,1.0,0.2222222222222222,8.0,8.0,9.0,8.0,6.0,20.0,20.0,20.0,20.0,10.0
546,1.0,0.3333333333333333,9.0,8.0,8.0,10.0,7.0,35.0,10.0,20.0,25.0,5.0
547,1.0,0.2222222222222222,7.0,9.0,8.0,8.0,8.0,25.0,20.0,20.0,20.0,0.0
548,1.0,0.2222222222222222,10.0,10.0,10.0,10.0,10.0,40.0,10.0,20.0,10.0,0.0
549,1.0,0.2222222222222222,7.0,10.0,9.0,8.0,9.0,20.0,20.0,20.0,20.0,0.0
550,1.0,0.3333333333333333,7.0,7.0,7.0,7.0,7.0,30.0,3.0,30.0,30.0,3.0
552,1.0,0.2222222222222222,8.0,7.0,7.0,6.0,7.0,70.0,0.0,15.0,15.0,0.0
